Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
25.07.2006;5.587,04;5.601,47;5.542,38;5.565,76;0
24.07.2006;5.460,12;5.582,06;5.460,12;5.578,05;0
21.07.2006;5.537,16;5.539,72;5.423,63;5.451,01;0
20.07.2006;5.559,67;5.587,28;5.535,27;5.545,82;0
19.07.2006;5.415,05;5.543,05;5.407,39;5.539,29;0
18.07.2006;5.402,68;5.444,82;5.373,44;5.396,85;0
17.07.2006;5.437,08;5.451,25;5.365,06;5.416,96;0
14.07.2006;5.502,35;5.504,07;5.422,22;5.422,22;0
13.07.2006;5.609,13;5.609,13;5.505,36;5.527,29;0
12.07.2006;5.641,01;5.700,01;5.620,49;5.637,82;0
11.07.2006;5.678,55;5.684,4;5.594,16;5.616,04;0
10.07.2006;5.678,11;5.711,04;5.633,47;5.706,32;0
07.07.2006;5.680,17;5.717,9;5.628,19;5.681,85;0
06.07.2006;5.635,27;5.702,65;5.635,27;5.695,47;0
05.07.2006;5.700,29;5.705,58;5.609,14;5.625,63;0
04.07.2006;5.714,6;5.729,59;5.689,01;5.729,01;0
03.07.2006;5.688;5.712,69;5.675,5;5.712,69;0
30.06.2006;5.617,71;5.698,21;5.617,71;5.683,31;0
29.06.2006;5.480,37;5.592,53;5.479,96;5.581,67;0
28.06.2006;5.442,17;5.490,19;5.420,08;5.456,87;0
27.06.2006;5.537,77;5.552,95;5.447,02;5.459,15;0
26.06.2006;5.542,74;5.564,64;5.500,94;5.514,63;0
23.06.2006;5.536,43;5.559,87;5.499,55;5.529,74;0
22.06.2006;5.548,38;5.580,82;5.499,44;5.533,42;0
21.06.2006;5.499,05;5.510,15;5.414,62;5.503,41;0
20.06.2006;5.408,25;5.493,61;5.382,58;5.493,61;0
19.06.2006;5.388,83;5.483,88;5.388,83;5.439,23;0
16.06.2006;5.454,34;5.507,6;5.369;5.376,01;0
15.06.2006;5.330,48;5.438,33;5.330,48;5.422,22;0
14.06.2006;5.298,62;5.332,08;5.243,71;5.305,99;0
13.06.2006;5.337,68;5.337,68;5.262,54;5.292,14;0
12.06.2006;5.458,38;5.470,23;5.375,99;5.395,55;0
09.06.2006;5.434,8;5.485,57;5.434,8;5.464,08;0
08.06.2006;5.478,71;5.478,71;5.402,82;5.383,28;0
07.06.2006;5.510,29;5.572,08;5.471,76;5.543,93;0
06.06.2006;5.563,13;5.590,83;5.477,75;5.502,81;0
05.06.2006;5.685,56;5.691,69;5.590,22;5.621,19;0
02.06.2006;5.733,42;5.778,62;5.676,13;5.687,04;0
01.06.2006;5.677,53;5.713,53;5.603,26;5.707,59;0
31.05.2006;5.582,63;5.704,11;5.533,12;5.692,86;0
30.05.2006;5.749,16;5.758,82;5.593,89;5.622,43;0
29.05.2006;5.782,49;5.784,29;5.748,2;5.755,02;0
26.05.2006;5.728,99;5.788,47;5.720,5;5.788,36;0
25.05.2006;5.601,32;5.706,06;5.568,83;5.706,06;0
24.05.2006;5.637,34;5.653,99;5.552,02;5.587,23;0
23.05.2006;5.556,82;5.703,34;5.556,82;5.678,49;0
22.05.2006;5.653,85;5.653,85;5.513,43;5.546,24;0
19.05.2006;5.656,41;5.706,19;5.635,69;5.672,28;0
18.05.2006; ; ; ;5.666,07;0
17.05.2006;5.873,72;5.897,77;5.652,72;5.652,72;0
16.05.2006;5.860,6;5.898,33;5.807,84;5.851,92;0
15.05.2006;5.893;5.902,44;5.785,14;5.857,03;0
12.05.2006;6.028,39;6.043,65;5.915,74;5.916,28;0
11.05.2006;6.122,01;6.162,37;6.047,43;6.054,72;0
10.05.2006;6.119,11;6.157,96;6.110,45;6.118,38;0
09.05.2006;6.128,01;6.142,02;6.100,04;6.140,72;0
08.05.2006;6.126,96;6.153,47;6.118,98;6.127,98;0
05.05.2006;6.049,25;6.113,29;6.045,83;6.113,29;0
04.05.2006;5.980,49;6.040,7;5.979,21;6.039,32;0
03.05.2006;6.054,64;6.079,8;5.962,86;5.968,96;0
02.05.2006;6.014,38;6.056,27;6.006,87;6.051,29;0
01.05.2006; ; ; ;6.009,89;0
28.04.2006;6.061,5;6.061,5;6.003,93;6.009,89;0
27.04.2006;6.104,28;6.113,08;6.021,27;6.067,74;0
26.04.2006;6.089,82;6.121,91;6.081,95;6.107,12;0
25.04.2006;6.084,8;6.111,3;6.051,72;6.078,8;0
24.04.2006;6.058,75;6.094,83;6.034,86;6.079,09;0
21.04.2006;6.070,86;6.108,69;6.069,38;6.094,75;0
20.04.2006;6.000,32;6.089,25;5.996,5;6.063,28;0
19.04.2006;5.935,41;5.996,6;5.935,41;5.993,76;0
18.04.2006;5.915,11;5.917,84;5.866,85;5.902,58;0
17.04.2006; ; ; ;5.918,57;0
14.04.2006; ; ; ;5.918,57;0
13.04.2006;5.909,82;5.925,4;5.873,58;5.918,57;0
12.04.2006;5.907,91;5.917,28;5.860,5;5.901,25;0
11.04.2006;6.000,11;6.000,76;5.895,04;5.908,47;0
10.04.2006;5.951,08;6.004,71;5.943,12;6.003,4;0
07.04.2006;6.028,33;6.045,25;5.947,56;5.952,92;0
06.04.2006;6.033,69;6.047,98;6.008,56;6.031,39;0
05.04.2006;6.013,89;6.035,14;5.995,77;6.029,2;0
04.04.2006;6.015,37;6.024,66;5.992,89;6.013,85;0
03.04.2006;5.989,08;6.028,14;5.978,46;6.024,05;0
31.03.2006;5.972,03;5.993,9;5.942,88;5.970,08;0
30.03.2006;5.943,47;5.993,45;5.936,31;5.984,19;0
29.03.2006;5.893,27;5.920,92;5.868,21;5.914,78;0
28.03.2006;5.914,65;5.940,59;5.863,07;5.890,63;0
27.03.2006;5.972,15;5.976,63;5.910,89;5.912,26;0
24.03.2006;5.956,35;5.977,06;5.941,24;5.973,14;0
23.03.2006;5.941,78;5.960,02;5.922,03;5.947,11;0
22.03.2006;5.883,09;5.949,15;5.859,52;5.932,31;0
21.03.2006;5.900,84;5.911,86;5.847,9;5.911,86;0
20.03.2006;5.895,78;5.932,46;5.884,75;5.902,79;0
17.03.2006;5.906,36;5.947,43;5.862,05;5.882,38;0
16.03.2006;5.906,3;5.909,5;5.867,37;5.897,79;0
15.03.2006;5.885,5;5.905,7;5.869,51;5.898,48;0
14.03.2006;5.841,43;5.870,88;5.823,63;5.870,88;0
13.03.2006;5.820,74;5.859,92;5.807,61;5.855,16;0
10.03.2006;5.715,3;5.804,95;5.708,79;5.804,92;0
09.03.2006;5.711,02;5.741,83;5.693,3;5.732,22;0
08.03.2006;5.745,38;5.763,27;5.664,19;5.673,36;0
07.03.2006;5.732,54;5.750,85;5.698,06;5.739,28;0
06.03.2006;5.742,07;5.768,98;5.726,59;5.754,06;0
03.03.2006;5.771,33;5.811,48;5.691,21;5.721,46;0
02.03.2006;5.862,36;5.885,73;5.749,48;5.783,49;0
01.03.2006;5.806,96;5.867,59;5.796,41;5.866,61;0
28.02.2006;5.908,58;5.916,8;5.792,09;5.796,04;0
27.02.2006;5.888,81;5.915,93;5.871,75;5.915,15;0
24.02.2006;5.856,73;5.873,1;5.840,6;5.870,79;0
23.02.2006;5.868,12;5.884,22;5.820,35;5.857,88;0
22.02.2006;5.793,46;5.862,06;5.783,35;5.862,06;0
21.02.2006; ; ; ;5.801,04;0
20.02.2006;5.795,68;5.802,72;5.766,99;5.793,95;0
17.02.2006;5.795,96;5.798,14;5.785,74;5.795,48;0
16.02.2006;5.786,16;5.796,79;5.757,25;5.789,25;0
15.02.2006;5.766,6;5.790,27;5.745,08;5.764,37;0
14.02.2006;5.759,66;5.786,69;5.717,44;5.763,4;0
13.02.2006;5.699,44;5.756,33;5.683,88;5.756,33;0
10.02.2006;5.730,09;5.745,49;5.696,02;5.701,47;0
09.02.2006;5.694,46;5.743,68;5.694,46;5.743,68;0
08.02.2006;5.627,75;5.675,56;5.598,05;5.666,41;0
07.02.2006;5.680,01;5.699,35;5.630,11;5.672,92;0
06.02.2006;5.667,18;5.702,76;5.649,28;5.666,78;0
03.02.2006;5.668,73;5.686,44;5.614,29;5.657,12;0
02.02.2006;5.738,5;5.760,63;5.644,11;5.649,6;0
01.02.2006;5.662,05;5.733,56;5.643,4;5.726,53;0
31.01.2006;5.667,7;5.697,01;5.635,81;5.674,15;5.238.490.000
30.01.2006;5.636,24;5.670,39;5.619,07;5.660,03;4.021.040.000
27.01.2006;5.586,48;5.650,85;5.585,37;5.647,42;6.771.040.000
26.01.2006;5.433,05;5.549,08;5.422,26;5.548,91;7.642.000.000
25.01.2006;5.346,36;5.430,09;5.339,01;5.427,09;7.082.760.000
24.01.2006;5.350,77;5.369,58;5.321,27;5.334,3;4.703.360.000
23.01.2006;5.311,9;5.350,24;5.290,49;5.348,72;3.983.690.000
20.01.2006;5.433,69;5.447,37;5.344,52;5.349,02;5.450.590.000
19.01.2006;5.411,34;5.438,91;5.410,29;5.430,84;4.259.620.000
18.01.2006;5.419,18;5.426,82;5.363,64;5.395,61;4.765.950.000
17.01.2006;5.481,86;5.481,86;5.448,87;5.460,16;3.684.530.000
16.01.2006;5.464,98;5.515,26;5.462,54;5.514,64;2.591.680.000
13.01.2006;5.531,73;5.531,73;5.463,78;5.483,09;5.153.950.000
12.01.2006;5.533,25;5.553,48;5.516,24;5.542,13;4.545.020.000
11.01.2006;5.524,2;5.537,48;5.515,67;5.532,59;4.717.180.000
10.01.2006;5.528,06;5.528,28;5.482,18;5.494,71;4.674.970.000
09.01.2006;5.543,34;5.553,55;5.532,84;5.537,11;3.930.700.000
06.01.2006;5.521,52;5.537,58;5.507,92;5.536,32;3.399.650.000
05.01.2006;5.521,86;5.526,41;5.502,25;5.516,53;4.126.970.000
04.01.2006;5.494,46;5.523,67;5.477,6;5.523,62;4.930.950.000
03.01.2006;5.451,34;5.496,46;5.440,74;5.460,68;4.330.790.000
02.01.2006;5.410,24;5.451,57;5.409,28;5.449,98;1.377.230.000
30.12.2005;5.446,79;5.446,79;5.385,07;5.408,26;1.560.170.000
29.12.2005;5.464;5.469,96;5.447,13;5.458,58;1.694.710.000
28.12.2005;5.437,28;5.460,39;5.432,3;5.447,15;1.810.690.000
27.12.2005;5.422,07;5.454,51;5.419,55;5.444,84;1.219.780.000
26.12.2005; ; ; ;5.419,05;0
23.12.2005;5.410,09;5.425,62;5.405,92;5.419,05;1.716.410.000
22.12.2005;5.390,01;5.403,13;5.387,46;5.398,28;2.510.650.000
21.12.2005;5.367,81;5.400,33;5.367,68;5.397,23;3.410.940.000
20.12.2005;5.331,82;5.365,6;5.322,83;5.356,6;3.168.980.000
19.12.2005;5.342,93;5.357,67;5.336,27;5.350,18;3.441.530.000
16.12.2005;5.303,32;5.356,67;5.302,68;5.353,66;8.538.010.000
15.12.2005;5.294,86;5.304,57;5.279,33;5.295,82;3.579.350.000
14.12.2005;5.315,16;5.321,11;5.274,97;5.286,76;4.263.440.000
13.12.2005;5.305,66;5.313,2;5.285,67;5.310,28;3.856.120.000
12.12.2005;5.316,46;5.331,06;5.290,91;5.301,21;3.308.440.000
09.12.2005;5.268,28;5.294,38;5.262,04;5.282,13;3.247.900.000
08.12.2005;5.230,83;5.286,75;5.222,24;5.286,75;4.013.600.000
07.12.2005;5.292,5;5.308,79;5.248,73;5.266,75;4.625.060.000
06.12.2005;5.271,35;5.309,93;5.267,71;5.300,85;3.418.140.000
05.12.2005;5.303,92;5.306,09;5.251,86;5.266,86;3.779.230.000
02.12.2005;5.292,2;5.307,99;5.275,3;5.307,99;3.780.550.000
01.12.2005;5.210,54;5.266,62;5.208,49;5.266,55;4.362.110.000
30.11.2005;5.183,78;5.209,56;5.166,39;5.193,4;3.795.850.000
29.11.2005;5.167,37;5.218,43;5.155,34;5.199,48;3.623.600.000
28.11.2005;5.218,28;5.241;5.167,91;5.176,59;4.001.340.000
25.11.2005;5.186,91;5.194,31;5.178,65;5.194,27;2.122.550.000
24.11.2005;5.193,15;5.204,14;5.171,56;5.187,98;2.574.100.000
23.11.2005;5.194,55;5.203,38;5.172,79;5.196,08;3.333.470.000
22.11.2005;5.178,96;5.182,73;5.161,35;5.174,72;4.074.720.000
21.11.2005;5.140,35;5.179,55;5.127,07;5.170,61;3.435.550.000
18.11.2005;5.129,12;5.162,51;5.108,93;5.123,5;5.395.720.000
17.11.2005;5.097,67;5.130,21;5.097,67;5.099,72;4.587.030.000
16.11.2005;5.108,06;5.114,66;5.063,86;5.081,46;3.991.150.000
15.11.2005;5.082,38;5.115,65;5.074,48;5.110,61;3.869.530.000
14.11.2005;5.083,27;5.106,98;5.075,63;5.092,43;2.734.490.000
11.11.2005;5.046,23;5.092,8;5.046,23;5.090,75;3.819.190.000
10.11.2005;5.024,06;5.047,84;5.003,11;5.015,55;4.085.130.000
09.11.2005;5.018,25;5.031,87;4.999,12;5.011,38;4.014.880.000
08.11.2005;5.033,43;5.047,51;4.993,67;5.008,83;3.491.890.000
07.11.2005;4.994,54;5.033,99;4.983,75;5.024,2;3.465.580.000
04.11.2005;5.004,28;5.013,95;4.977,41;4.995,24;4.324.310.000
03.11.2005;4.973,04;5.013,75;4.966,33;5.011;4.990.460.000
02.11.2005;4.921,11;4.954,83;4.891,62;4.954,83;5.350.950.000
01.11.2005;4.922,91;4.938,39;4.907,69;4.922,55;3.572.610.000
31.10.2005;4.854,59;4.930,92;4.854,59;4.929,07;4.515.520.000
28.10.2005;4.802,66;4.835,49;4.762,75;4.825,64;0
27.10.2005;4.878,35;4.878,35;4.793,1;4.806,05;0
26.10.2005;4.877,03;4.914,94;4.866,57;4.900,79;0
25.10.2005;4.918,04;4.930,89;4.871,89;4.872,97;0
24.10.2005;4.838,25;4.905,46;4.836,41;4.901,79;0
21.10.2005;4.846,8;4.870,81;4.831,75;4.838,4;0
20.10.2005;4.903,98;4.931,95;4.852,56;4.864,25;0
19.10.2005;4.902,22;4.902,22;4.825,96;4.845,98;0
18.10.2005;4.982,3;4.993,19;4.943,19;4.947,18;0
17.10.2005;4.987,66;4.999;4.965,63;4.978,83;0
14.10.2005;4.954,37;4.988,5;4.933,16;4.975,56;0
13.10.2005;4.977,74;4.993,58;4.929,11;4.950,07;0
12.10.2005;5.005,25;5.017,87;4.955,82;4.981,77;0
11.10.2005;5.020,3;5.065,17;5.020,3;5.032,46;0
10.10.2005;5.027,28;5.057,13;5.006,57;5.022,79;0
07.10.2005;5.004,13;5.032,66;4.984,45;5.007,77;0
06.10.2005;5.037,5;5.037,5;4.980,62;5.017,27;0
05.10.2005;5.111,66;5.111,66;5.067,21;5.069,42;0
04.10.2005;5.084,7;5.138,02;5.064,8;5.138,02;0
03.10.2005;5.060,99;5.083,56;5.050,22;5.082,07;0
30.09.2005;5.055,86;5.061,84;5.021,14;5.044,12;0
29.09.2005;5.050,87;5.059,86;5.003,98;5.021,17;0
28.09.2005;4.983,64;5.052,35;4.983,64;5.048,74;0
27.09.2005;4.979,84;4.992,63;4.957,29;4.965,88;0
26.09.2005;4.938,18;4.998,16;4.938,18;4.998,16;0
23.09.2005;4.867,04;4.887,46;4.855,58;4.882,58;0
22.09.2005;4.857,51;4.872,53;4.827,86;4.849,01;0
21.09.2005;4.933,56;4.933,56;4.870,7;4.875,22;0
20.09.2005;4.934,03;4.967,31;4.927,98;4.962,86;0
19.09.2005;4.928,14;4.948,9;4.872,64;4.926,13;0
16.09.2005;4.913,74;5.001,79;4.911,74;4.986,5;0
15.09.2005;4.903,85;4.925,21;4.888,79;4.905,98;0
14.09.2005;4.906,91;4.934,61;4.888,03;4.911,17;0
13.09.2005;4.989,72;4.993,3;4.899,32;4.901,88;0
12.09.2005;5.028,49;5.035,39;4.979,85;4.989,98;0
09.09.2005;4.999,11;5.020,47;4.971,24;5.005,93;0
08.09.2005;4.992,47;4.999,42;4.967,96;4.992,75;0
07.09.2005;4.977,92;5.004,23;4.967,68;4.988,14;0
06.09.2005;4.917,44;4.969,42;4.916,65;4.968,28;0
05.09.2005;4.853,6;4.909,89;4.850,53;4.909,89;0
02.09.2005;4.841,38;4.861,93;4.819,1;4.837,81;0
01.09.2005;4.846,66;4.874,89;4.816,67;4.842,94;0
31.08.2005;4.795,3;4.834,9;4.791,47;4.829,69;0
30.08.2005;4.828,07;4.837,23;4.784,57;4.791,72;0
29.08.2005;4.756,68;4.815,98;4.726,33;4.812,24;0
26.08.2005;4.860,21;4.878,92;4.783,8;4.783,8;0
25.08.2005;4.886,35;4.886,35;4.847,9;4.856,01;0
24.08.2005;4.903,02;4.920,85;4.874,52;4.915,95;0
23.08.2005;4.925,36;4.931,74;4.897,14;4.917,74;0
22.08.2005;4.933,74;4.954,41;4.929,19;4.941,69;0
19.08.2005;4.854,89;4.930,83;4.851,88;4.929,91;0
18.08.2005;4.876,6;4.884,14;4.834,16;4.851,27;0
17.08.2005;4.863,69;4.881,3;4.841,34;4.871,46;0
16.08.2005;4.939,73;4.953,46;4.875,92;4.883,81;0
15.08.2005;4.935,22;4.951,33;4.916,09;4.922,34;0
12.08.2005;4.969,24;4.972,73;4.929,78;4.937,33;0
11.08.2005;4.966,64;4.981,11;4.938,15;4.953,93;0
10.08.2005;4.920,77;4.990,57;4.920,77;4.990,57;0
09.08.2005;4.835,83;4.909,48;4.835,35;4.909,48;0
08.08.2005;4.846,64;4.862,27;4.827,3;4.837,86;0
05.08.2005;4.856,63;4.868,2;4.827,18;4.827,18;0
04.08.2005;4.922,59;4.930,4;4.870,43;4.874,06;0
03.08.2005;4.930,41;4.934,94;4.901,51;4.923,12;0
02.08.2005;4.894,46;4.933,4;4.894,22;4.932,87;0
01.08.2005;4.882,39;4.912,39;4.878,17;4.890,85;0
29.07.2005;4.896,46;4.913,02;4.874,78;4.880,02;0
28.07.2005;4.870,07;4.900,29;4.859,94;4.892,5;0
27.07.2005;4.844,06;4.858,64;4.839,77;4.855,35;0
26.07.2005;4.835,79;4.858,24;4.827,89;4.843,49;0
25.07.2005;4.843,69;4.853,03;4.819,42;4.842,7;0
22.07.2005;4.826,15;4.852,36;4.815,41;4.836,9;0
21.07.2005;4.803,77;4.865,72;4.803,29;4.829,87;0
20.07.2005;4.759,51;4.785,92;4.757,56;4.784,5;0
19.07.2005;4.725,72;4.770,54;4.719,29;4.770,54;0
18.07.2005;4.717,59;4.732,7;4.705,29;4.719,57;0
15.07.2005;4.702;4.723,65;4.691,2;4.712,9;0
14.07.2005;4.686,8;4.715,47;4.686,8;4.699,27;0
13.07.2005;4.656,91;4.682,82;4.655,92;4.679,89;0
12.07.2005;4.661,77;4.666,08;4.637,62;4.653,03;0
11.07.2005;4.616,36;4.663,38;4.616,36;4.663,38;0
08.07.2005;4.560,43;4.597,97;4.559,57;4.597,97;0
07.07.2005;4.595,23;4.595,23;4.444,94;4.530,18;0
06.07.2005;4.607,57;4.636,96;4.607,57;4.615,49;0
05.07.2005;4.616,24;4.617,78;4.578,08;4.603,65;0
04.07.2005;4.620,86;4.627,35;4.610,31;4.623,41;0
01.07.2005; ; ; ;4.617,07;0
30.06.2005; ; ; ;4.586,28;0
29.06.2005; ; ; ;4.583,63;0
28.06.2005; ; ; ;4.557,46;0
27.06.2005; ; ; ;4.523,82;0
24.06.2005; ; ; ;4.566,48;0
23.06.2005; ; ; ;4.627,48;0
22.06.2005; ; ; ;4.619,6;0
21.06.2005; ; ; ;4.608,11;0
20.06.2005; ; ; ;4.586,86;0
17.06.2005; ; ; ;4.604,57;0
16.06.2005; ; ; ;4.579,87;0
15.06.2005; ; ; ;4.548,42;0
14.06.2005; ; ; ;4.589,89;0
13.06.2005; ; ; ;4.599,21;0
10.06.2005; ; ; ;4.586,1;0
09.06.2005; ; ; ;4.562,75;0
08.06.2005; ; ; ;4.557,29;0
07.06.2005; ; ; ;4.564,96;0
06.06.2005; ; ; ;4.497,26;0
03.06.2005; ; ; ;4.510,39;0
02.06.2005; ; ; ;4.532,17;0
01.06.2005; ; ; ;4.527,17;0
31.05.2005; ; ; ;4.460,63;0
30.05.2005; ; ; ;4.480,43;0
27.05.2005; ; ; ;4.444,71;0
26.05.2005; ; ; ;4.436,6;0
25.05.2005; ; ; ;4.389,54;0
24.05.2005; ; ; ;4.396,64;0
23.05.2005; ; ; ;4.406,95;0
20.05.2005; ; ; ;4.360,68;0
19.05.2005; ; ; ;4.360,42;0
18.05.2005; ; ; ;4.324,6;0
17.05.2005; ; ; ;4.251,77;0
16.05.2005; ; ; ;4.262,18;0
13.05.2005; ; ; ;4.275,7;0
12.05.2005; ; ; ;4.267,05;0
11.05.2005; ; ; ;4.244,16;0
10.05.2005; ; ; ;4.251,13;0
09.05.2005; ; ; ;4.292,41;0
06.05.2005; ; ; ;4.311,06;0
05.05.2005; ; ; ;4.299,51;0
04.05.2005; ; ; ;4.264,35;0
03.05.2005; ; ; ;4.245,54;0
02.05.2005; ; ; ;4.224,02;0
29.04.2005; ; ; ;4.184,84;0
28.04.2005; ; ; ;4.178,1;0
27.04.2005; ; ; ;4.189,02;0
26.04.2005; ; ; ;4.233,76;0
25.04.2005; ; ; ;4.246,96;0
22.04.2005; ; ; ;4.223,04;0
21.04.2005; ; ; ;4.193,7;0
20.04.2005; ; ; ;4.178,62;0
19.04.2005; ; ; ;4.204,61;0
18.04.2005; ; ; ;4.202,2;0
15.04.2005; ; ; ;4.312,25;0
14.04.2005; ; ; ;4.402,05;0
13.04.2005; ; ; ;4.405,69;0
12.04.2005; ; ; ;4.372,12;0
11.04.2005; ; ; ;4.396,09;0
08.04.2005; ; ; ;4.400,68;0
07.04.2005; ; ; ;4.389,52;0
06.04.2005; ; ; ;4.379,18;0
05.04.2005; ; ; ;4.362,61;0
04.04.2005; ; ; ;4.341,39;0
01.04.2005; ; ; ;4.373,53;0
31.03.2005; ; ; ;4.348,77;0
30.03.2005; ; ; ;4.347,52;0
29.03.2005; ; ; ;4.351,89;0
28.03.2005; ; ; ;4.343,6;0
25.03.2005; ; ; ;4.343,6;0
24.03.2005; ; ; ;4.343,6;0
23.03.2005; ; ; ;4.317,2;0
22.03.2005; ; ; ;4.320,69;0
21.03.2005; ; ; ;4.296,36;0
18.03.2005; ; ; ;4.327,18;0
17.03.2005; ; ; ;4.315,92;0
16.03.2005; ; ; ;4.309,11;0
15.03.2005; ; ; ;4.387,69;0
14.03.2005; ; ; ;4.367,3;0
11.03.2005; ; ; ;4.360,49;0
10.03.2005; ; ; ;4.337,68;0
09.03.2005; ; ; ;4.375,6;0
08.03.2005; ; ; ;4.396,5;0
07.03.2005; ; ; ;4.428,09;0
04.03.2005; ; ; ;4.423,52;0
03.03.2005; ; ; ;4.373,27;0
02.03.2005; ; ; ;4.393,43;0
01.03.2005; ; ; ;4.383,62;0
28.02.2005; ; ; ;4.350,49;0
25.02.2005; ; ; ;4.348,64;0
24.02.2005; ; ; ;4.304,29;0
23.02.2005; ; ; ;4.310,66;0
22.02.2005; ; ; ;4.323,21;0
21.02.2005; ; ; ;4.353,34;0
18.02.2005; ; ; ;4.359,47;0
17.02.2005; ; ; ;4.369,68;0
16.02.2005; ; ; ;4.368,77;0
15.02.2005; ; ; ;4.402,03;0
14.02.2005; ; ; ;4.386,4;0
11.02.2005; ; ; ;4.387,8;0
10.02.2005; ; ; ;4.342,01;0
09.02.2005; ; ; ;4.353,15;0
08.02.2005; ; ; ;4.371,39;0
07.02.2005; ; ; ;4.366,35;0
04.02.2005; ; ; ;4.339,28;0
03.02.2005; ; ; ;4.281,64;0
02.02.2005; ; ; ;4.296,31;0
01.02.2005; ; ; ;4.279,97;0
31.01.2005; ; ; ;4.254,85;0
28.01.2005; ; ; ;4.201,81;0
27.01.2005; ; ; ;4.216,41;0
26.01.2005; ; ; ;4.214,12;0
25.01.2005;4.193,54;4.241,34;4.189,51;4.233,95;0
24.01.2005; ; ; ;4.201,89;0
21.01.2005; ; ; ;4.213,7;0
20.01.2005; ; ; ;4.220,43;0
19.01.2005; ; ; ;4.245,55;0
18.01.2005; ; ; ;4.250,71;0
17.01.2005; ; ; ;4.245,51;0
14.01.2005; ; ; ;4.232,36;0
13.01.2005; ; ; ;4.212,14;0
12.01.2005; ; ; ;4.208,82;0
11.01.2005; ; ; ;4.258,01;0
10.01.2005; ; ; ;4.307,37;0
07.01.2005; ; ; ;4.316,4;0
06.01.2005; ; ; ;4.300,94;0
05.01.2005; ; ; ;4.258,24;0
04.01.2005; ; ; ;4.290,5;0
03.01.2005; ; ; ;4.291,53;0
31.12.2004; ; ; ;4.256,08;0
30.12.2004; ; ; ;4.256,08;0
29.12.2004; ; ; ;4.247,75;0
28.12.2004; ; ; ;4.261,79;0
27.12.2004; ; ; ;4.235,36;0
24.12.2004; ; ; ;4.251,62;0
23.12.2004; ; ; ;4.251,62;0
22.12.2004; ; ; ;4.241,28;0
21.12.2004; ; ; ;4.214,39;0
20.12.2004; ; ; ;4.211,55;0
17.12.2004; ; ; ;4.182,27;0
16.12.2004; ; ; ;4.233,71;0
15.12.2004; ; ; ;4.213,69;0
14.12.2004; ; ; ;4.231,3;0
13.12.2004; ; ; ;4.219,24;0
10.12.2004; ; ; ;4.174,55;0
09.12.2004; ; ; ;4.150,41;0
08.12.2004; ; ; ;4.201,35;0
07.12.2004; ; ; ;4.212,62;0
06.12.2004; ; ; ;4.193,91;0
03.12.2004; ; ; ;4.208,87;0
02.12.2004; ; ; ;4.216,4;0
01.12.2004; ; ; ;4.186,03;0
30.11.2004; ; ; ;4.126;0
29.11.2004; ; ; ;4.146,98;0
26.11.2004; ; ; ;4.154,27;0
25.11.2004; ; ; ;4.160,35;0
24.11.2004; ; ; ;4.125,3;0
23.11.2004; ; ; ;4.113,37;0
22.11.2004; ; ; ;4.123,98;0
19.11.2004; ; ; ;4.134,89;0
18.11.2004; ; ; ;4.178,68;0
17.11.2004; ; ; ;4.183,41;0
16.11.2004; ; ; ;4.117,22;0
15.11.2004; ; ; ;4.134,34;0
12.11.2004; ; ; ;4.143,35;0
11.11.2004; ; ; ;4.130,81;0
10.11.2004; ; ; ;4.089,13;0
09.11.2004; ; ; ;4.065,33;0
08.11.2004; ; ; ;4.068,97;0
05.11.2004; ; ; ;4.063,58;0
04.11.2004; ; ; ;4.041,38;0
03.11.2004; ; ; ;4.039,04;0
02.11.2004; ; ; ;4.037,57;0
01.11.2004; ; ; ;4.012,64;0
29.10.2004; ; ; ;3.960,25;0
28.10.2004; ; ; ;3.959,59;0
27.10.2004; ; ; ;3.929,03;0
26.10.2004; ; ; ;3.862,26;0
25.10.2004; ; ; ;3.854,41;0
22.10.2004; ; ; ;3.935,14;0
21.10.2004; ; ; ;3.934,06;0
20.10.2004; ; ; ;3.912,4;0
19.10.2004; ; ; ;3.964,13;0
18.10.2004; ; ; ;3.915,17;0
15.10.2004; ; ; ;3.922,11;0
14.10.2004; ; ; ;3.940,46;0
13.10.2004; ; ; ;3.976,03;0
12.10.2004; ; ; ;3.966,48;0
11.10.2004; ; ; ;4.017,82;0
08.10.2004; ; ; ;4.015,54;0
07.10.2004; ; ; ;4.043,36;0
06.10.2004; ; ; ;4.049,66;0
05.10.2004; ; ; ;4.048,71;0
04.10.2004; ; ; ;4.033,28;0
01.10.2004; ; ; ;3.994,96;0
30.09.2004; ; ; ;3.892,9;0
29.09.2004; ; ; ;3.920,36;0
28.09.2004; ; ; ;3.882,27;0
27.09.2004; ; ; ;3.874,37;0
24.09.2004; ; ; ;3.910,3;0
23.09.2004; ; ; ;3.905,66;0
22.09.2004; ; ; ;3.942,35;0
21.09.2004; ; ; ;3.991,02;0
20.09.2004; ; ; ;3.977,68;0
17.09.2004; ; ; ;3.988,07;0
16.09.2004; ; ; ;3.963,65;0
15.09.2004; ; ; ;3.941,75;0
14.09.2004; ; ; ;3.947,75;0
13.09.2004; ; ; ;3.953,31;0
10.09.2004; ; ; ;3.886,03;0
09.09.2004; ; ; ;3.851,22;0
08.09.2004; ; ; ;3.884,16;0
07.09.2004; ; ; ;3.889,04;0
